weight,elevation,TOR0,TOD0,TOR10,TOD10,TOR20,TOD20,TOR30,TOD30,TOR40,TOD40,TOR40,TOD40
2400,0,795,1460,860,1570,925,1685,995,1810,1065,1945,1065,1945
2400,1000,875,1605,940,1725,1015,1860,1090,2000,1170,2155,1170,2155
2400,2000,960,1770,1035,1910,1115,2060,1200,2220,1290,2395,1290,2395
2400,2000,960,1770,1035,1910,1115,2060,1200,2220,1290,2395,1290,2395
2200,0,650,1195,700,1280,750,1375,805,1470,865,1575,865,1575
2200,1000,710,1310,765,1405,825,1510,885,1615,950,1735,950,1735
2200,2000,780,1440,840,1545,905,1660,975,1785,1045,1915,1045,1915
2200,2000,780,1440,840,1545,905,1660,975,1785,1045,1915,1045,1915
2000,0,525,970,565,1035,605,1110,650,1185,695,1265,695,1265
2000,1000,570,1060,615,1135,665,1215,710,1295,765,1385,765,1385
2000,2000,625,1160,675,1240,725,1330,780,1425,840,1525,840,1525
2000,2000,625,1160,675,1240,725,1330,780,1425,840,1525,840,1525
